เวลา,ไฟล์,แถวก่อน,แถวหลัง,เพิ่ม
2026-08-09T11:45:47,2021.parquet,0,3508,3508
2026-08-09T11:45:47,2022.parquet,0,152190,152190
2026-08-09T11:45:47,2023.parquet,0,157343,157343
2026-08-09T11:45:47,2024.parquet,0,157046,157046
2026-08-09T11:45:48,2025.parquet,0,153238,153238
2026-08-09T11:45:48,2026.parquet,0,2726,2726
2026-08-12T23:13:36,2022.parquet,152190,152190,0
2026-08-12T23:13:36,2023.parquet,157343,157343,0
2026-08-12T23:13:37,2024.parquet,157046,157046,0
2026-08-12T23:13:37,2025.parquet,153238,153238,0
