เวลา,ไฟล์,แถวก่อน,แถวหลัง,เพิ่ม
2026-08-09T11:45:49,2004.parquet,0,2,2
2026-08-09T11:45:49,2005.parquet,0,6,6
2026-08-09T11:45:49,2006.parquet,0,6,6
2026-08-09T11:45:49,2007.parquet,0,631,631
2026-08-09T11:45:49,2008.parquet,0,1267,1267
2026-08-09T11:45:49,2009.parquet,0,2887,2887
2026-08-09T11:45:49,2010.parquet,0,8447,8447
2026-08-09T11:45:49,2011.parquet,0,67087,67087
2026-08-09T11:45:49,2012.parquet,0,79381,79381
2026-08-09T11:45:49,2013.parquet,0,81954,81954
2026-08-09T11:45:49,2014.parquet,0,84084,84084
2026-08-09T11:45:49,2015.parquet,0,88309,88309
2026-08-09T11:45:49,2016.parquet,0,100490,100490
2026-08-09T11:45:50,2017.parquet,0,107554,107554
2026-08-09T11:45:50,2018.parquet,0,112663,112663
2026-08-09T11:45:50,2019.parquet,0,120427,120427
2026-08-09T11:45:50,2020.parquet,0,129157,129157
2026-08-09T11:45:50,2021.parquet,0,150771,150771
2026-08-09T11:45:51,2022.parquet,0,499136,499136
2026-08-09T11:45:52,2023.parquet,0,557746,557746
2026-08-09T11:45:53,2024.parquet,0,564092,564092
2026-08-09T11:45:54,2025.parquet,0,546070,546070
2026-08-09T11:45:54,2026.parquet,0,55216,55216
